Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
,Actual,Bold,%Female front-line management and supervisors,, ,100%,
,Actual,,Female senior management,, ,0,
,Actual,,Male senior management,, ,0,
,Actual,Bold,%Female senior management,, ,N/A,
,Actual,,Female in all management positions,, ,1,
,Actual,,Male in all management positions,, ,0,
,Actual,Bold,%Female in all management positions,, ,0%,
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Female front-line management and supervisors,, ,0,
,Actual,,Male front-line management and supervisors,, ,2,
,Actual,Bold,%Female front-line management and supervisors,, ,0%,
,Actual,,Female senior management,, ,0,
,Actual,,Male senior management,, ,0,
,Actual,Bold,%Female senior management,, ,N/A,
,Actual,,Female in all management positions,, ,0,
,Actual,,Male in all management positions,, ,2,
,Actual,Bold,%Female in all management positions,, ,0%,
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Female front-line management and supervisors,, ,2,
,Actual,,Male front-line management and supervisors,, ,3,
,Actual,Bold,%Female front-line management and supervisors,, ,40%,
,Actual,,Female senior management,, ,0,
,Actual,,Male senior management,, ,3,
,Actual,Bold,%Female senior management,, ,0%,
,Actual,,Female in all management positions,, ,2,
,Actual,,Male in all management positions,, ,6,
,Actual,Bold,%Female in all management positions,, ,33%,
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Female front-line management and supervisors,, ,11,
,Actual,,Male front-line management and supervisors,, ,6,
,Actual,Bold,%Female front-line management and supervisors,, ,65%,
,Actual,,Female senior management,, ,30,
,Actual,,Male senior management,, ,109,
,Actual,Bold,%Female senior management,, ,22%,
,Actual,,Female in all management positions,, ,41,
,Actual,,Male in all management positions,, ,115,
,Actual,Bold,%Female in all management positions,, ,36%,
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Female front-line management and supervisors,, ,9,
,Actual,,Male front-line management and supervisors,, ,13,
,Actual,Bold,%Female front-line management and supervisors,, ,41%,
,Actual,,Female senior management,, ,6,
,Actual,,Male senior management,, ,13,
,Actual,Bold,%Female senior management,, ,32%,
,Actual,,Female in all management positions,, ,15,
,Actual,,Male in all management positions,, ,26,
,Actual,Bold,%Female in all management positions,, ,58%,
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Female front-line management and supervisors,, ,4,
,Actual,,Male front-line management and supervisors,, ,2,
,Actual,Bold,%Female front-line management and supervisors,, ,67%,
,Actual,,Female senior management,, ,9,
,Actual,,Male senior management,, ,11,
,Actual,Bold,%Female senior management,, ,45%,
,Actual,,Female in all management positions,, ,13,
,Actual,,Male in all management positions,, ,13,
,Actual,Bold,%Female in all management positions,, ,100%,
,,Abstract Bold,NT,, ,,
,Actual,,Female front-line management and supervisors,, ,1,
,Actual,,Male front-line management and supervisors,, ,4,
,Actual,Bold,%Female front-line management and supervisors,, ,20%,
,Actual,,Female senior management,, ,0,
,Actual,,Male senior management,, ,1,
,Actual,Bold,%Female senior management,, ,0%,
,Actual,,Female in all management positions,, ,1,
,Actual,,Male in all management positions,, ,5,
,Actual,Bold,%Female in all management positions,, ,20%,
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Female front-line management and supervisors,, ,7,
,Actual,,Male front-line management and supervisors,, ,14,
,Actual,Bold,%Female front-line management and supervisors,, ,33%,
,Actual,,Female senior management,, ,5,
,Actual,,Male senior management,, ,7,
,Actual,Bold,%Female senior management,, ,42%,
,Actual,,Female in all management positions,, ,12,
,Actual,,Male in all management positions,, ,21,
,Actual,Bold,%Female in all management positions,, ,57%,
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Female front-line management and supervisors,, ,0,
,Actual,,Male front-line management and supervisors,, ,1,
,Actual,Bold,%Female front-line management and supervisors,, ,0%,
,Actual,,Female senior management,, ,1,
,Actual,,Male senior management,, ,6,
,Actual,Bold,%Female senior management,, ,14%,
,Actual,,Female in all management positions,, ,1,
,Actual,,Male in all management positions,, ,7,
,Actual,Bold,%Female in all management positions,, ,14%,
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Female front-line management and supervisors,, ,0,
,Actual,,Male front-line management and supervisors,, ,3,
,Actual,Bold,%Female front-line management and supervisors,, ,0%,
,Actual,,Female senior management,, ,0,
,Actual,,Male senior management,, ,3,
,Actual,Bold,%Female senior management,, ,0%,
,Actual,,Female in all management positions,, ,0,
,Actual,,Male in all management positions,, ,6,
,Actual,Bold,%Female in all management positions,, ,0%,
,,,,, ,,
,,Abstract Bold,Average Hours of Training per Year per Employee,,404-1,,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,,Total hours of training for employees,, ,"1,095",896
,Actual,,Average hours of training per employee,, ,13,10
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Total hours of training for employees,, ,125,125
,Actual,,Average hours of training per employee,, ,9,11
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Total hours of training for employees,, ,144,264
,Actual,,Average hours of training per employee,, ,21,38
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Total hours of training for employees,, ,230,42
,Actual,,Average hours of training per employee,, ,26,4
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Total hours of training for employees,, ,"1,776",528
,Actual,,Average hours of training per employee,, ,81,44
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Total hours of training for employees,, ,"1,057",276
,Actual,,Average hours of training per employee,, ,5,1
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Total hours of training for employees,, ,171,100
,Actual,,Average hours of training per employee,, ,1,0
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Total hours of training for employees,, ,31,
,Actual,,Average hours of training per employee,, ,1,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,,Total hours of training for employees,, ,,775
,Actual,,Average hours of training per employee,, ,,5
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,,Total hours of training for employees,, ,452,530
,Actual,,Average hours of training per employee,, ,15,17
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Total hours of training for employees,, ,0,462
,Actual,,Average hours of training per employee,, ,0,6
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Total hours of training for employees,, ,35,65
,Actual,,Average hours of training per employee,, ,3,4
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Total hours of training for employees,, ,0,366
,Actual,,Average hours of training per employee,, ,0,28
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Total hours of training for employees,, ,"310,541","443,694"
,Actual,,Average hours of training per employee,, ,33,42
,,,,, ,,
,,Abstract Bold,Diversity of Board of Directors by Gender,,405-2,,
,Actual,,Percentage female,, ,33%,36%
,Actual,,Percentage male,, ,67%,64%
,,,,, ,,
,,Abstract Bold,Diversity of Board of Directors by Age,,405-1,,
,Actual,,Percentage under 30 years,, ,0%,0%
,Actual,,Percentage 30-50 years,, ,0%,0%
,Actual,,Percentage over 50 years,, ,100%,100%
,,,,, ,,
,,Abstract Bold,Diversity of Employees per Employee Category by Gender,,405-1,,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,,Percentage of hourly employees female,, ,100%,57%
,Actual,,Percentage of hourly employees male,, ,0%,43%
,Actual,,Percentage of salaried employees female,, ,20%,26%
,Actual,,Percentage of salaried employees male,, ,80%,74%
,Actual,Bold,Percentage of female employees,, ,20%,28%
,Actual,Bold,Percentage of male employees,, ,80%,72%
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,0%,0%
,Actual,,Percentage of salaried employees female,, ,21%,18%
,Actual,,Percentage of salaried employees male,, ,79%,82%
,Actual,Bold,Percentage of female employees,, ,21%,18%
,Actual,Bold,Percentage of male employees,, ,79%,82%
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,0%,0%
,Actual,,Percentage of salaried employees female,, ,14%,14%
,Actual,,Percentage of salaried employees male,, ,86%,86%
,Actual,Bold,Percentage of female employees,, ,14%,14%
,Actual,Bold,Percentage of male employees,, ,86%,86%
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,0%,0%
,Actual,,Percentage of salaried employees female,, ,22%,29%
,Actual,,Percentage of salaried employees male,, ,78%,71%
,Actual,Bold,Percentage of female employees,, ,22%,29%
,Actual,Bold,Percentage of male employees,, ,78%,71%
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,0%,0%
,Actual,,Percentage of salaried employees female,, ,24%,33%
,Actual,,Percentage of salaried employees male,, ,76%,67%
,Actual,Bold,Percentage of female employees,, ,24%,33%
,Actual,Bold,Percentage of male employees,, ,76%,67%
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,0%,0%
,Actual,,Percentage of salaried employees female,, ,35%,36%
,Actual,,Percentage of salaried employees male,, ,65%,64%
,Actual,Bold,Percentage of female employees,, ,35%,36%
,Actual,Bold,Percentage of male employees,, ,65%,64%
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Percentage of hourly employees female,, ,57%,75%
,Actual,,Percentage of hourly employees male,, ,43%,25%
,Actual,,Percentage of salaried employees female,, ,44%,44%
,Actual,,Percentage of salaried employees male,, ,56%,56%
,Actual,Bold,Percentage of female employees,, ,44%,45%
,Actual,Bold,Percentage of male employees,, ,56%,55%
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Percentage of hourly employees female,, ,0%,
,Actual,,Percentage of hourly employees male,, ,0%,
,Actual,,Percentage of salaried employees female,, ,52%,
,Actual,,Percentage of salaried employees male,, ,48%,
,Actual,Bold,Percentage of female employees,, ,52%,
,Actual,Bold,Percentage of male employees,, ,48%,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,,Percentage of hourly employees female,, ,,0%
,Actual,,Percentage of hourly employees male,, ,,100%
,Actual,,Percentage of salaried employees female,, ,,58%
,Actual,,Percentage of salaried employees male,, ,,42%
,Actual,Bold,Percentage of female employees,, ,,58%
,Actual,Bold,Percentage of male employees,, ,,42%
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,,Percentage of hourly employees female,, ,57%,50%
,Actual,,Percentage of hourly employees male,, ,43%,50%
,Actual,,Percentage of salaried employees female,, ,23%,23%
,Actual,,Percentage of salaried employees male,, ,77%,77%
,Actual,Bold,Percentage of female employees,, ,30%,25%
,Actual,Bold,Percentage of male employees,, ,70%,75%
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,0%,0%
,Actual,,Percentage of salaried employees female,, ,44%,44%
,Actual,,Percentage of salaried employees male,, ,56%,56%
,Actual,Bold,Percentage of female employees,, ,44%,44%
,Actual,Bold,Percentage of male employees,, ,56%,56%
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,0%,0%
,Actual,,Percentage of salaried employees female,, ,14%,22%
,Actual,,Percentage of salaried employees male,, ,86%,78%
,Actual,Bold,Percentage of female employees,, ,14%,22%
,Actual,Bold,Percentage of male employees,, ,86%,78%
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,100%,100%
,Actual,,Percentage of salaried employees female,, ,21%,9%
,Actual,,Percentage of salaried employees male,, ,79%,91%
,Actual,Bold,Percentage of female employees,, ,19%,8%
,Actual,Bold,Percentage of male employees,, ,81%,92%
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Percentage of hourly employees female,, ,8%,8%
,Actual,,Percentage of hourly employees male,, ,92%,92%
,Actual,,Percentage of salaried employees female,, ,25%,26%
,Actual,,Percentage of salaried employees male,, ,75%,74%
,Actual,Bold,Percentage of female employees,, ,15%,15%
,Actual,Bold,Percentage of male employees,, ,85%,85%
,,,,, ,,
,,Abstract Bold,Diversity of Employees per Employee Category by Age,,405-1,,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,43%
,Actual,,Percentage of hourly employees 30-50 years,, ,100%,57%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,26%,24%
,Actual,,Percentage of salaried employees 30-50 years,, ,57%,58%
,Actual,,Percentage of salaried employees over 50 years,, ,17%,17%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,25%
,Actual,Bold,Percentage of employees 30-50 years,, ,58%,58%
,Actual,Bold,Percentage of employees over 50 years,, ,17%,17%
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,0%,0%
,Actual,,Percentage of salaried employees 30-50 years,, ,64%,73%
,Actual,,Percentage of salaried employees over 50 years,, ,36%,27%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,0%
,Actual,Bold,Percentage of employees 30-50 years,, ,64%,73%
,Actual,Bold,Percentage of employees over 50 years,, ,36%,27%
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,29%,29%
,Actual,,Percentage of salaried employees 30-50 years,, ,29%,29%
,Actual,,Percentage of salaried employees over 50 years,, ,43%,43%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,29%
,Actual,Bold,Percentage of employees 30-50 years,, ,29%,29%
,Actual,Bold,Percentage of employees over 50 years,, ,43%,43%
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,22%,12%
,Actual,,Percentage of salaried employees 30-50 years,, ,56%,65%
,Actual,,Percentage of salaried employees over 50 years,, ,22%,24%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,12%
,Actual,Bold,Percentage of employees 30-50 years,, ,56%,65%
,Actual,Bold,Percentage of employees over 50 years,, ,22%,24%
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,12%,0%
,Actual,,Percentage of salaried employees 30-50 years,, ,71%,56%
,Actual,,Percentage of salaried employees over 50 years,, ,18%,44%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,0%
,Actual,Bold,Percentage of employees 30-50 years,, ,71%,56%
,Actual,Bold,Percentage of employees over 50 years,, ,18%,44%
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,5%,6%
,Actual,,Percentage of salaried employees 30-50 years,, ,62%,63%
,Actual,,Percentage of salaried employees over 50 years,, ,32%,31%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,6%
,Actual,Bold,Percentage of employees 30-50 years,, ,62%,63%
,Actual,Bold,Percentage of employees over 50 years,, ,32%,31%
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,100%,100%
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,10%,12%
,Actual,,Percentage of salaried employees 30-50 years,, ,71%,68%
,Actual,,Percentage of salaried employees over 50 years,, ,19%,20%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,13%
,Actual,Bold,Percentage of employees 30-50 years,, ,68%,67%
,Actual,Bold,Percentage of employees over 50 years,, ,18%,20%
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,
,Actual,,Percentage of hourly employees over 50 years,, ,0%,
,Actual,,Percentage of salaried employees under 30 years,, ,0%,
,Actual,,Percentage of salaried employees 30-50 years,, ,62%,
,Actual,,Percentage of salaried employees over 50 years,, ,38%,
,Actual,Bold,Percentage of employees under 30 years,, ,0%,
,Actual,Bold,Percentage of employees 30-50 years,, ,62%,
,Actual,Bold,Percentage of employees over 50 years,, ,38%,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,,100%
,Actual,,Percentage of hourly employees over 50 years,, ,,0%
,Actual,,Percentage of salaried employees under 30 years,, ,,18%
,Actual,,Percentage of salaried employees 30-50 years,, ,,61%
,Actual,,Percentage of salaried employees over 50 years,, ,,20%
,Actual,Bold,Percentage of employees under 30 years,, ,,18%
,Actual,Bold,Percentage of employees 30-50 years,, ,,62%
,Actual,Bold,Percentage of employees over 50 years,, ,,20%
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,43%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,29%,100%
,Actual,,Percentage of hourly employees over 50 years,, ,29%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,8%,10%
,Actual,,Percentage of salaried employees 30-50 years,, ,50%,60%
,Actual,,Percentage of salaried employees over 50 years,, ,42%,30%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,9%
,Actual,Bold,Percentage of employees 30-50 years,, ,45%,63%
,Actual,Bold,Percentage of employees over 50 years,, ,39%,28%
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,11%,13%
,Actual,,Percentage of salaried employees 30-50 years,, ,51%,49%
,Actual,,Percentage of salaried employees over 50 years,, ,38%,38%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,13%
,Actual,Bold,Percentage of employees 30-50 years,, ,51%,49%
,Actual,Bold,Percentage of employees over 50 years,, ,38%,38%
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,0%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,0%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,7%,6%
,Actual,,Percentage of salaried employees 30-50 years,, ,43%,56%
,Actual,,Percentage of salaried employees over 50 years,, ,50%,39%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,6%
,Actual,Bold,Percentage of employees 30-50 years,, ,43%,56%
,Actual,Bold,Percentage of employees over 50 years,, ,50%,39%
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,50%,100%
,Actual,,Percentage of hourly employees 30-50 years,, ,50%,0%
,Actual,,Percentage of hourly employees over 50 years,, ,0%,0%
,Actual,,Percentage of salaried employees under 30 years,, ,36%,9%
,Actual,,Percentage of salaried employees 30-50 years,, ,29%,36%
,Actual,,Percentage of salaried employees over 50 years,, ,36%,55%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,17%
,Actual,Bold,Percentage of employees 30-50 years,, ,31%,33%
,Actual,Bold,Percentage of employees over 50 years,, ,31%,50%
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Percentage of hourly employees under 30 years,, ,24%,22%
,Actual,,Percentage of hourly employees 30-50 years,, ,54%,55%
,Actual,,Percentage of hourly employees over 50 years,, ,22%,23%
,Actual,,Percentage of salaried employees under 30 years,, ,18%,14%
,Actual,,Percentage of salaried employees 30-50 years,, ,61%,65%
,Actual,,Percentage of salaried employees over 50 years,, ,21%,21%
,Actual,Bold,Percentage of employees under 30 years,, ,0%,19%
,Actual,Bold,Percentage of employees 30-50 years,, ,57%,59%
,Actual,Bold,Percentage of employees over 50 years,, ,21%,22%
,,,,, ,,
,,Abstract Bold,Local and Indigenous Employment,, ,,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,,Total indigenous employees,, ,6,8
,Actual,,Percentage indigenous employees,, ,7%,9%
,Actual,,Total local employees,, ,26,26
,Actual,,Percentage local employees,, ,31%,28%
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Total indigenous employees,, ,0,0
,Actual,,Percentage indigenous employees,, ,0%,0%
,Actual,,Total local employees,, ,7,3
,Actual,,Percentage local employees,, ,50%,27%
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Total indigenous employees,, ,0,0
,Actual,,Percentage indigenous employees,, ,0%,0%
,Actual,,Total local employees,, ,7,7
,Actual,,Percentage local employees,, ,100%,100%
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Total indigenous employees,, ,0,0
,Actual,,Percentage indigenous employees,, ,0%,0%
,Actual,,Total local employees,, ,7,11
,Actual,,Percentage local employees,, ,78%,65%
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Total indigenous employees,, ,0,0
,Actual,,Percentage indigenous employees,, ,0%,0%
,Actual,,Total local employees,, ,8,6
,Actual,,Percentage local employees,, ,47%,67%
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Total indigenous employees,, ,0,0
,Actual,,Percentage indigenous employees,, ,0%,0%
,Actual,,Total local employees,, ,191,245
,Actual,,Percentage local employees,, ,98%,98%
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Total indigenous employees,, ,11,1
,Actual,,Percentage indigenous employees,, ,5%,0%
,Actual,,Total local employees,, ,180,194
,Actual,,Percentage local employees,, ,87%,81%
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Total indigenous employees,, ,0,
,Actual,,Percentage indigenous employees,, ,0%,
,Actual,,Total local employees,, ,29,
,Actual,,Percentage local employees,, ,100%,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,,Total indigenous employees,, ,,11
,Actual,,Percentage indigenous employees,, ,,7%
,Actual,,Total local employees,, ,,113
,Actual,,Percentage local employees,, ,,76%
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,,Total indigenous employees,, ,0,0
,Actual,,Percentage indigenous employees,, ,0%,0%
,Actual,,Total local employees,, ,30,27
,Actual,,Percentage local employees,, ,91%,84%
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Total indigenous employees,, ,2,1
,Actual,,Percentage indigenous employees,, ,3%,1%
,Actual,,Total local employees,, ,69,79
,Actual,,Percentage local employees,, ,96%,100%
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Total indigenous employees,, ,0,0
,Actual,,Percentage indigenous employees,, ,0%,0%
,Actual,,Total local employees,, ,9,13
,Actual,,Percentage local employees,, ,64%,72%
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Total indigenous employees,, ,0,0
,Actual,,Percentage indigenous employees,, ,0%,0%
,Actual,,Total local employees,, ,11,8
,Actual,,Percentage local employees,, ,69%,67%
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Total indigenous employees,, ,694,649
,Actual,,Percentage indigenous employees,, ,7%,6%
,Actual,,Total local employees,, ,"5,737","6,909"
,Actual,,Percentage local employees,, ,61%,66%
,,,,, ,,
,,Abstract Bold,Incidents of Discrimination and Corrective Actions Taken,,406-1,,
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,, of grievances about discrimination filed through a formal mechanism,, ,7,32
,Actual,, of grievances about discrimination investigated by the organization,, ,10,31
,Actual,, of remediation plans implemented as a result of an investigation,, ,9,26
,Actual,," of grievances resolved, completed or withdrawn at the end of the year",, ,10,32
,,Abstract Bold,CDN Regional Office(s),, ,,
,Actual,, of grievances about discrimination filed through a formal mechanism,, ,,1
,Actual,, of grievances about discrimination investigated by the organization,, ,,1
,Actual,, of remediation plans implemented as a result of an investigation,, ,,1
,Actual,," of grievances resolved, completed or withdrawn at the end of the year",, ,,1
,,,,, ,,
,,Abstract Bold,Community Response Mechanisms,,MM7,,
,Actual,Bold,Total  of community grievances or complaints by category,, ,175,214
,Actual,,Environmental,, ,4,1
,Actual,,Health & safety,, ,22,4
,Actual,,Social and communities,, ,5,9
,Actual,,Economic opportunities (e.g. employment & procurement),, ,26,27
,Actual,,Indigenous rights,, ,1,0
,Actual,,Land and resource use,, ,0,1
,Actual,,Mining practices and activities,, ,117,172
,Actual,, of grievances or complaints investigated,, ,176,213
,Actual,, of remediation plans implemented as a result of an investigation,, ,16,77
,Actual,, of grievances or complaints resolved completed or withdrawn at the end of the year,, ,172,207
,Actual,, of grievances not addressed within 30 days,, ,,0
,Actual,, of complainants during the year,, ,,107
,,,,, ,,
,,Abstract Bold,Significant Disputes or Incidents Relating to Land Use Customary Rights or Local Communities and Indigenous Peoples,, ,,
,Actual,,Total  of significant disputes,, ,0,0
,Actual,, of incidents investigated,, ,0,0
,Actual,, of remediation plans implemented as a result of an investigation,, ,0,0
,Actual,, of remediation plan results reviewed by internal management,, ,0,0
,Actual,, of disputes or incidents resolved completed or withdrawn at the end of the year,, ,0,0
,Actual,,Descriptions of any disputes or incidents,,N/A,,N/A
,,,,, ,,
,,Abstract Bold,Communities,, ,,
,Actual,, of Significant Disputes ,, ,0,1
,Actual,,Operations payments to local suppliers,, ,1.36,1.58
,,,,, ,,
,,Abstract Bold,Proportion of Senior Management Hired from the Local Community,,202-2,,
,,Abstract Bold,% Senior Management Positions Filled by Locals,, ,,
,Actual,,Agnico Eagle,, ,70%,73%
,Actual,,LaRonde,, ,100%,100%
,Actual,,Goldex,, ,92%,85%
,Actual,,CMC,, ,,89%
,Actual,,Kittilä,, ,70%,71%
,Actual,,La India,, ,0%,0%
,Actual,,Pinos Altos,, ,0%,9%
,Actual,,Meadowbank,, ,5%,0%
,Actual,,Meliadine,, ,5%,0%
,Actual,,Hope Bay,, ,0%,0%
,Actual,,Macassa,, ,68%,76%
,Actual,,Detour Lake,, ,42%,35%
,Actual,,Fosterville,, ,82%,80%
,,,,, ,,
,,Abstract Bold,Proportion of Operation Spending on Local Suppliers (000 USD),,204-1,,
,,Abstract Bold,Agnico Eagle,, ,,
$,Thousands,,Total purchases from local region ,, ,"1,361,026","1,873,471"
$,Thousands,,Total purchases ,, ,"3,073,734","4,048,440"
,Actual,,% Local spending,, ,44%,46%
,,,,, ,,
,,Abstract Bold,Direct Economic Value Generated and Distributed (000 USD,,201-1,,
,,Abstract Bold,Australia,, ,,
$,Thousands,,Economic value generated,, ,"687,219","552,468"
$,Thousands,,Revenues,, ,"687,219","552,468"
$,Thousands,,Economic value distributed,, ,"403,067","346,010"
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ,"133,867","113,021"
$,Thousands,,Capex,, ,"78,715","66,591"
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,"45,274","45,451"
$,Thousands,,Capex,, ,"24,457","20,884"
$,Thousands,,Payments to providers of capital,, ,,194
$,Thousands,,Income and resource taxes (Payments to government ),, ,"117,106","96,536"
$,Thousands,,Other operating costs ,, ,0,0
